exposure,outcome,SNP,b,se,p,lci,uci
tryptophan,CAD,rs3799734,-4.03943396226415,1.75135849056604,0.0210850811023062,-7.47203352779202,-0.606834396736285
tryptophan,CAD,rs524394,-3.41927272727273,1.68669090909091,0.0426411803397573,-6.72512616214203,-0.113419292403424
tryptophan,CAD,rs5997110,-4.6696,1.86144,0.0121212199529143,-8.31795535938224,-1.02124464061776
tryptophan,CAD,rs8110890,-4.06577777777778,2.05668888888889,0.0480579091635338,-8.0968139274037,-0.0347416281518553
tryptophan,CAD,rs9610322,-4.2346511627907,2.14906976744186,0.0487859334299865,-8.44675050724061,-0.0225518183407827
tryptophan,CAD,All - Inverse variance weighted,-1.76795065285961,1.04595382786131,0.0909751643103716,-3.81798248495959,0.282081179240362
tryptophan,CAD,All - MR Egger,-3.76473104804286,2.62824770165707,0.173975416877706,-8.9160018857409,1.38653978965518
histidine,CAD,rs10017305,-4.06151898734177,1.43951898734177,0.00478083172518476,-6.88292435759321,-1.24011361709033
histidine,CAD,rs11723439,-3.2343,1.23445,0.00879212035670194,-5.65377754071547,-0.814822459284531
histidine,CAD,rs11736389,-3.12882352941176,1.46251764705882,0.0324080856028202,-5.99530544440132,-0.262341614422209
histidine,CAD,All - Inverse variance weighted,-3.45211704484716,0.789013104849824,1.21302223764118e-05,-4.99855431368294,-1.90567977601138
histidine,CAD,All - MR Egger,-0.67785918393096,7.84595961801033,0.945134864570567,-16.0556574593868,14.6999390915249
leucine,CAD,rs10911251,6.98489361702128,1.95623404255319,0.000356189231475142,3.15074534828583,10.8190418857567
leucine,CAD,rs11203041,-8.25023255813954,2.14906976744186,0.000123547264736486,-12.4623319025895,-4.03813321368962
leucine,CAD,rs12612007,-4.72840909090909,2.23920454545455,0.0347167560926069,-9.11716935401838,-0.339648827799801
leucine,CAD,rs130561,4.93739130434783,1.99686956521739,0.0134147032943496,1.02359887469758,8.85118373399807
leucine,CAD,rs1334318,4.87954545454545,2.15084090909091,0.0232884802308383,0.663974736251885,9.09511617283902
leucine,CAD,rs2057435,-7.08463414634146,2.31351219512195,0.00219654062806066,-11.6190347265747,-2.55023356610824
leucine,CAD,rs242082,4.03666666666667,1.97022916666667,0.0404786397033372,0.175088458709638,7.8982448746237
leucine,CAD,rs2465250,-3.94333333333333,1.93741666666667,0.041815029081766,-7.74060022304764,-0.146066443619025
leucine,CAD,rs2478832,-6.77170731707317,2.42929268292683,0.0053112812797049,-11.5330334835164,-2.01038115062991
leucine,CAD,rs2624695,-14.91525,2.324375,1.39089759035935e-10,-19.4709412865653,-10.3595587134347
leucine,CAD,rs4531478,4.51317073170732,2.29814634146341,0.0495497087374278,0.00888667123653608,9.0174547921781
leucine,CAD,rs4681618,5.19214285714286,2.21083333333333,0.0188491814836579,0.858989147988889,9.52529656629683
leucine,CAD,rs6475359,4.83086956521739,2.08163043478261,0.020302267182636,0.750948883921025,8.91079024651376
leucine,CAD,rs6518309,6.90790697674419,2.27993023255814,0.00244653777492849,2.4393258336662,11.3764881198222
leucine,CAD,rs6679864,5.14195121951219,2.29443902439024,0.025022874707882,0.644933366984099,9.63896907204029
leucine,CAD,rs6703016,-4.12816326530612,1.88789795918367,0.0287684251055932,-7.82837527179279,-0.427951258819454
leucine,CAD,rs7901640,5.74704545454545,2.15256818181818,0.00758839532136363,1.52808934391495,9.96600156517596
leucine,CAD,rs7915,-4.06142857142857,2.00075510204082,0.0423618377721806,-7.98283651331333,-0.140020629543811
leucine,CAD,rs8131355,4.98853658536585,2.26131707317073,0.0273817976232672,0.556436564325694,9.42063660640601
leucine,CAD,All - Inverse variance weighted,0.367143602679088,1.4582324387492,0.801216503191379,-2.49093945835735,3.22522666371553
leucine,CAD,All - MR Egger,10.9660406884672,22.2699277315177,0.628725086088673,-32.6822156036172,54.6142969805516
cholesterol,CAD,rs1077834,3.28672566371681,0.954964601769911,0.000578017276385674,1.41502943773715,5.15842188969648
cholesterol,CAD,rs11022174,2.50366336633663,1.09380198019802,0.0220819748356081,0.359850878929922,4.64747585374335
cholesterol,CAD,rs1124515,4.69064102564103,1.43666666666667,0.00109484425413417,1.87482610118515,7.5064559500969
cholesterol,CAD,rs13131908,2.41435582822086,0.936331288343558,0.00992224470779362,0.579180225469496,4.24953143097222
cholesterol,CAD,rs17293443,7.12461538461539,1.53457692307692,3.43847407349925e-06,4.11689988387832,10.1323308853524
cholesterol,CAD,rs2050223,3.73448717948718,1.37414102564103,0.00657397089798719,1.04122025955184,6.42775409942252
cholesterol,CAD,rs445925,3.43372,0.746492,4.22880177333064e-06,1.97062256525273,4.89681743474727
cholesterol,CAD,rs4970834,9.75252525252525,1.25393939393939,7.39663551229495e-15,7.29484920160806,12.2102013034424
cholesterol,CAD,rs602633,9.41352941176471,1.12770588235294,6.97206450505079e-17,7.20326649719898,11.6237923263304
cholesterol,CAD,rs6511720,9.21308823529412,1.24594852941176,1.42008381245227e-13,6.77107399105642,11.6551024795318
cholesterol,CAD,All - Inverse variance weighted,4.94791817729842,0.924172808244123,8.60839138930757e-08,3.1365727576487,6.75926359694814
cholesterol,CAD,All - MR Egger,2.4460047222729,2.73481294431655,0.397219741387434,-2.91413015304147,7.80613959758727
creatinine,CAD,rs11638382,-1.78859649122807,0.797748538011696,0.0249577860414239,-3.35215489445048,-0.225038088005664
creatinine,CAD,rs12175103,-4.12354166666667,1.9218125,0.0319007188404962,-7.89022495170555,-0.356858381627785
creatinine,CAD,rs12324230,-4.45547619047619,2.20435714285714,0.0432576793982482,-8.77593679953981,-0.135015581412577
creatinine,CAD,rs4460629,-5.08488888888889,2.08564444444444,0.0147670554941177,-9.17267688455605,-0.997100893221729
creatinine,CAD,rs6663614,-2.58067307692308,1.16169230769231,0.0263186513611206,-4.85754816111722,-0.303797992728931
creatinine,CAD,All - Inverse variance weighted,-2.62527566629996,0.575552318934772,5.08341515649619e-06,-3.75333748263062,-1.4972138499693
creatinine,CAD,All - MR Egger,-0.855846768685757,1.08797664765746,0.488908831128114,-2.988241814115,1.27654827674348
3-hydroxybutyrate (BHBA),CAD,rs2711506,0.660184049079755,0.291263803680982,0.0234135150853936,0.089317483864886,1.23105061429462
3-hydroxybutyrate (BHBA),CAD,All - Inverse variance weighted,NA,NA,NA,NA,NA
3-hydroxybutyrate (BHBA),CAD,All - MR Egger,NA,NA,NA,NA,NA
mannose,CAD,rs12581199,2.37815286624204,0.963464968152866,0.013574378172759,0.489796228296391,4.26650950418769
mannose,CAD,rs13116473,-2.23714285714286,1.05381026785714,0.0337615135134392,-4.30257302868136,-0.17171268560435
mannose,CAD,rs4666042,-2.06775862068966,0.915655172413793,0.0239314163344187,-3.8624097808785,-0.273107460500807
mannose,CAD,rs7747345,2.26163934426229,1.00480327868852,0.024396434007081,0.292261106485024,4.23101758203957
mannose,CAD,rs780092,-1.16154867256637,0.519393805309735,0.0253285592345609,-2.17954182476666,-0.143555520366083
mannose,CAD,All - Inverse variance weighted,-0.506424946316374,0.868686767421782,0.559908364548596,-2.20901972430959,1.19616983167684
mannose,CAD,All - MR Egger,-2.49200633081161,2.6055202833314,0.409412082926367,-7.59873224712974,2.61471958550653
linoleate (18:2n6),CAD,rs13280152,2.4712962962963,0.912876543209877,0.00678630130681395,0.682091149273516,4.26050144331908
linoleate (18:2n6),CAD,rs16911296,1.5744976076555,0.731081339712919,0.0312671705107619,0.14160451204889,3.00739070326212
linoleate (18:2n6),CAD,All - Inverse variance weighted,1.92492358962058,0.570640662282767,0.000742817545791125,0.806488443432277,3.04335873580889
linoleate (18:2n6),CAD,All - MR Egger,NA,NA,NA,NA,NA
arachidonate (20:4n6),CAD,rs10241964,3.20340659340659,0.836197802197802,0.000127665193112396,1.56448901714735,4.84232416966583
arachidonate (20:4n6),CAD,rs108499,0.55893023255814,0.239739534883721,0.0197319521164924,0.0890493785156627,1.02881108660062
arachidonate (20:4n6),CAD,rs1548577,3.3075,1.11304761904762,0.00296280382197528,1.12596675358861,5.48903324641139
arachidonate (20:4n6),CAD,rs174448,1.0118345323741,0.359956834532374,0.0049389546896432,0.306332100701604,1.7173369640466
arachidonate (20:4n6),CAD,rs174547,0.464895833333333,0.2102625,0.0270340435594221,0.0527889060339803,0.877002760632686
arachidonate (20:4n6),CAD,rs174605,1.07944029850746,0.422350746268657,0.0105946687510103,0.251648046977281,1.90723255003764
arachidonate (20:4n6),CAD,rs433,3.87943820224719,1.04807865168539,0.000214348750926737,1.82524179197852,5.93363461251586
arachidonate (20:4n6),CAD,rs4739402,-2.12423529411765,1.08052941176471,0.0493077547915736,-4.24203402541272,-0.00643656282257377
arachidonate (20:4n6),CAD,rs526126,1.39955823293173,0.584975903614458,0.0167337643360762,0.253026530023616,2.54608993583984
arachidonate (20:4n6),CAD,All - Inverse variance weighted,0.782403255448582,0.268118047572915,0.00352137771438903,0.256901538600472,1.30790497229669
arachidonate (20:4n6),CAD,All - MR Egger,0.239732022265004,0.471536445038035,0.626795290257891,-0.684462427407595,1.1639264719376
margarate (17:0),CAD,rs1822906,-1.40222222222222,0.688155555555556,0.0415846490915717,-2.75098232687226,-0.0534621175721812
margarate (17:0),CAD,rs603424,1.37630136986301,0.387006849315068,0.000376155566572236,0.61778188343516,2.13482085629087
margarate (17:0),CAD,All - Inverse variance weighted,0.708677723211431,1.1871338253487,0.55053053524658,-1.61806181930129,3.03541726572415
margarate (17:0),CAD,All - MR Egger,NA,NA,NA,NA,NA
inosine,CAD,rs2475792,-0.298949044585987,0.148722929936306,0.0444198354360141,-0.59044063093642,-0.00745745823555422
inosine,CAD,rs6921315,-0.351001697792869,0.171536502546689,0.0407345724903069,-0.687207064818343,-0.0147963307673951
inosine,CAD,All - Inverse variance weighted,-0.321286138559708,0.112369500697674,0.00424719714942547,-0.541526312887896,-0.101045964231519
inosine,CAD,All - MR Egger,NA,NA,NA,NA,NA
isoleucine,CAD,rs7340968,-1.23915915915916,0.619015015015015,0.0453036558260878,-2.45240629447811,-0.0259120238402093
isoleucine,CAD,All - Inverse variance weighted,NA,NA,NA,NA,NA
isoleucine,CAD,All - MR Egger,NA,NA,NA,NA,NA
threonine,CAD,rs1043011,-1.61470930232558,0.71953488372093,0.0248258723356912,-3.02497176003882,-0.204446844612343
threonine,CAD,rs10993160,1.74952542372881,0.779874576271187,0.0248747662938483,0.220999341778853,3.27805150567877
threonine,CAD,rs3857856,1.98914473684211,0.916118421052632,0.0299104146635876,0.193585626005247,3.78470384767896
threonine,CAD,rs42041,-2.79495412844037,1.0737247706422,0.00923997663306702,-4.89941600820761,-0.690492248673122
threonine,CAD,rs7304944,-1.98581005586592,0.831094972067039,0.0168763745349393,-3.61472626884964,-0.356893842882203
threonine,CAD,rs774211,-2.39854430379747,0.811474683544304,0.00311874900572145,-3.98900545791034,-0.808083149684596
threonine,CAD,All - Inverse variance weighted,-0.792234099219632,0.843620999776357,0.347685721967856,-2.44570087538296,0.861232676943699
threonine,CAD,All - MR Egger,3.26218929429468,3.03016933082575,0.342272287433067,-2.67683346118163,9.20121204977099
tyrosine,CAD,rs13237436,-3.38407894736842,1.48405263157895,0.0225901521533495,-6.29276865642505,-0.475389238311795
tyrosine,CAD,rs4845672,-2.80454545454545,1.40093181818182,0.0452939483020724,-5.55032136297803,-0.0587695461128761
tyrosine,CAD,rs883319,-2.68098901098901,1.21221978021978,0.0269918198840523,-5.05689612156684,-0.305081900411183
tyrosine,CAD,All - Inverse variance weighted,-2.91345320175604,0.779897510043799,0.000187203200682837,-4.44202423307436,-1.38488217043773
tyrosine,CAD,All - MR Egger,0.877538297412269,10.0419404834741,0.944508470270705,-18.8043033850916,20.5593799799162
lysine,CAD,rs10917910,-3.74267441860465,1.80448837209302,0.038070792018339,-7.27940663842829,-0.205942198781014
lysine,CAD,All - Inverse variance weighted,NA,NA,NA,NA,NA
lysine,CAD,All - MR Egger,NA,NA,NA,NA,NA
methionine,CAD,rs320485,-3.80446808510638,1.46567021276596,0.0094393214709079,-6.67712891534082,-0.931807254871949
methionine,CAD,rs9410970,-3.43191176470588,1.61120588235294,0.0331693980306666,-6.58981726579673,-0.274006263615039
methionine,CAD,All - Inverse variance weighted,-3.63577243301722,1.08419404026667,0.000798156392496674,-5.76075370419286,-1.51079116184159
methionine,CAD,All - MR Egger,NA,NA,NA,NA,NA
palmitate (16:0),CAD,rs603424,2.66145695364238,0.748384105960265,0.000376155566572236,1.19465105935806,4.12826284792671
palmitate (16:0),CAD,All - Inverse variance weighted,NA,NA,NA,NA,NA
palmitate (16:0),CAD,All - MR Egger,NA,NA,NA,NA,NA
nonadecanoate (19:0),CAD,rs603424,2.20813186813187,0.620912087912088,0.000376155566572236,0.991166538258608,3.42509719800513
nonadecanoate (19:0),CAD,rs9291034,-1.97846153846154,0.812854700854701,0.0149343555215808,-3.57162747680083,-0.385295600122245
nonadecanoate (19:0),CAD,All - Inverse variance weighted,0.665438937811181,2.01958574297241,0.741783243969526,-3.29287638210531,4.62375425772767
nonadecanoate (19:0),CAD,All - MR Egger,NA,NA,NA,NA,NA
stearate (18:0),CAD,rs1993110,1.59738562091503,0.726241830065359,0.0278407543650996,0.17397778992047,3.0207934519096
stearate (18:0),CAD,rs4710948,-2.31282352941176,1.14148235294118,0.0427486025198431,-4.55008783016451,-0.0755592286590208
stearate (18:0),CAD,rs603424,1.78613333333333,0.502248888888889,0.000376155566572235,0.801743599835852,2.77052306683081
stearate (18:0),CAD,rs7681360,-2.5924358974359,1.19532051282051,0.0300962973968747,-4.93522105254605,-0.249650742325745
stearate (18:0),CAD,All - Inverse variance weighted,0.889768394804605,0.965515985428544,0.356764895843682,-1.00260816313304,2.78214495274225
stearate (18:0),CAD,All - MR Egger,4.42599005645814,0.887312400936775,0.0379199640423262,2.68688970758629,6.16509040532998
pentadecanoate (15:0),CAD,rs3135095,-1.81376068376068,0.845717948717949,0.0319816280878191,-3.47133740432696,-0.156183963194412
pentadecanoate (15:0),CAD,rs3900774,-0.783393442622951,0.297729508196721,0.00850775908987527,-1.36693255582335,-0.199854329422554
pentadecanoate (15:0),CAD,rs6783294,-0.95981220657277,0.446089201877934,0.0314276917675467,-1.83413097614574,-0.0854934369998016
pentadecanoate (15:0),CAD,All - Inverse variance weighted,-0.914836033648756,0.23766048976066,0.000118436508503058,-1.3806420341278,-0.449030033169711
pentadecanoate (15:0),CAD,All - MR Egger,-0.549472227655507,0.418884744813606,0.414663653491299,-1.37047124116343,0.271526785852413
myristate (14:0),CAD,rs10004910,-2.03455357142857,0.829357142857143,0.0141603632760313,-3.66006370174961,-0.409043441107531
myristate (14:0),CAD,rs4710948,-1.70947826086957,0.843704347826087,0.0427486025198431,-3.36310839620855,-0.0558481255305803
myristate (14:0),CAD,rs603424,2.48074074074074,0.697567901234568,0.000376155566572236,1.11353277754979,3.84794870393169
myristate (14:0),CAD,rs670365,0.656897435897436,0.331928205128205,0.0478120995487406,0.00633010839313064,1.30746476340174
myristate (14:0),CAD,All - Inverse variance weighted,0.407496991804826,0.761907928949507,0.592762175273169,-1.08581510847171,1.90080909208136
myristate (14:0),CAD,All - MR Egger,1.60685714271316,1.55270067043299,0.409457123365624,-1.43638025010669,4.650094535533
pipecolate,CAD,rs7561932,-1.44195652173913,0.597336956521739,0.0157795419625414,-2.61271544315651,-0.271197600321754
pipecolate,CAD,All - Inverse variance weighted,NA,NA,NA,NA,NA
pipecolate,CAD,All - MR Egger,NA,NA,NA,NA,NA
ornithine,CAD,rs4812400,1.55415730337079,0.739157303370787,0.0355001395168115,0.105435609854299,3.00287899688727
ornithine,CAD,All - Inverse variance weighted,NA,NA,NA,NA,NA
ornithine,CAD,All - MR Egger,NA,NA,NA,NA,NA
5-oxoproline,CAD,rs13013224,-2.38690265486726,1.07820353982301,0.0268440938301246,-4.50014276092395,-0.273662548810562
5-oxoproline,CAD,rs7973508,2.71972602739726,1.37198630136986,0.0474426101170473,0.0306822894300125,5.40876976536451
5-oxoproline,CAD,All - Inverse variance weighted,-0.437205609130226,2.48093939573933,0.860116527365223,-5.29975747260587,4.42534625434541
5-oxoproline,CAD,All - MR Egger,NA,NA,NA,NA,NA
pantothenate,CAD,rs7703613,2.53512605042017,0.916579831932773,0.00567739362488294,0.738662590876157,4.33158950996418
pantothenate,CAD,All - Inverse variance weighted,NA,NA,NA,NA,NA
pantothenate,CAD,All - MR Egger,NA,NA,NA,NA,NA
4-acetamidobutanoate,CAD,rs1018070,2.53538745387454,0.860885608856089,0.00322858483617642,0.84808266570777,4.22269224204131
4-acetamidobutanoate,CAD,rs10416031,-2.91764705882353,1.36436470588235,0.0324789690820314,-5.59175274413052,-0.243541373516535
4-acetamidobutanoate,CAD,rs13273265,1.05305555555556,0.353644444444444,0.00290397342014996,0.359925181111769,1.74618592999934
4-acetamidobutanoate,CAD,rs2252585,-2.55938271604938,1.30446913580247,0.0497612105207989,-5.11609524116631,-0.00267019093245491
4-acetamidobutanoate,CAD,rs4329986,-2.91377777777778,1.02991111111111,0.00466711447326668,-4.93236646283319,-0.895189092722371
4-acetamidobutanoate,CAD,rs4603646,-2.68654761904762,1.11227380952381,0.0157194333653946,-4.86656422666145,-0.506531011433789
4-acetamidobutanoate,CAD,rs4646246,1.40027972027972,0.415937062937063,0.000761102700136417,0.585058057087708,2.21550138347173
4-acetamidobutanoate,CAD,rs4800626,-3.42610526315789,0.9988,0.00060308865413945,-5.3837172909165,-1.46849323539929
4-acetamidobutanoate,CAD,rs4921913,0.893489736070381,0.321964809384164,0.00551819995775851,0.262450305388116,1.52452916675265
4-acetamidobutanoate,CAD,rs6997340,1.0180487804878,0.413979674796748,0.0139256424646335,0.206663527554575,1.82943403342103
4-acetamidobutanoate,CAD,rs721399,1.08754325259516,0.359487889273356,0.00248421940204475,0.382959936741055,1.79212656844926
4-acetamidobutanoate,CAD,rs7228099,-3.03329896907217,0.950216494845361,0.00141184335283361,-4.89568907648496,-1.17090886165937
4-acetamidobutanoate,CAD,rs7834428,1.75018867924528,0.890745283018868,0.0494305861082825,0.00436000512936485,3.4960173533612
4-acetamidobutanoate,CAD,rs9657488,1.66516129032258,0.777040322580645,0.0321168312138016,0.142190243529131,3.18813233711603
4-acetamidobutanoate,CAD,All - Inverse variance weighted,0.715496332810682,0.36652803554671,0.050927319517683,-0.00288541618508598,1.43387808180645
4-acetamidobutanoate,CAD,All - MR Egger,2.38463040438032,0.475767684075663,0.00030307289367445,1.45214287858399,3.31711793017665
alpha-tocopherol,CAD,rs261342,1.81414201183432,0.638011834319527,0.00446308071669867,0.563661794857712,3.06462222881093
alpha-tocopherol,CAD,All - Inverse variance weighted,NA,NA,NA,NA,NA
alpha-tocopherol,CAD,All - MR Egger,NA,NA,NA,NA,NA
citrate,CAD,rs1125471,2.40517647058824,1.20857647058824,0.0465809745942746,0.036410115672763,4.77394282550371
citrate,CAD,rs13151462,-3.08691358024691,1.15695061728395,0.00762710242801111,-5.35449512201484,-0.819332038478987
citrate,CAD,All - Inverse variance weighted,-0.460672235997319,2.74343039999181,0.866647533996676,-5.83769701407358,4.91635254207894
citrate,CAD,All - MR Egger,NA,NA,NA,NA,NA
glycerate,CAD,rs17011367,-1.85686956521739,0.944869565217391,0.0493896374222502,-3.7087798831315,-0.0049592473032849
glycerate,CAD,All - Inverse variance weighted,NA,NA,NA,NA,NA
glycerate,CAD,All - MR Egger,NA,NA,NA,NA,NA
guanosine,CAD,rs16838377,0.492305580969808,0.190580969807868,0.00978932936799697,0.118773744007671,0.865837417931945
guanosine,CAD,All - Inverse variance weighted,NA,NA,NA,NA,NA
guanosine,CAD,All - MR Egger,NA,NA,NA,NA,NA
urate,CAD,rs10011621,-2.44547169811321,1.08392452830189,0.0240626610960183,-4.56992473554447,-0.321018660681943
urate,CAD,rs10017305,1.30963265306122,0.464171428571429,0.00478083172518475,0.399873370408719,2.21939193571373
urate,CAD,rs10489070,1.10017793594306,0.433932384341637,0.0112329509004526,0.24968609090786,1.95066978097826
urate,CAD,rs10516194,2.5860594795539,1.28794795539033,0.0446548451207737,0.0617278730268485,5.11039108608096
urate,CAD,rs11723439,0.940203488372093,0.358851744186046,0.00879212035670195,0.236866993978061,1.64353998276612
urate,CAD,rs13103207,-2.24698412698413,1.02239682539683,0.0279661240436877,-4.25084508266999,-0.243123171298264
urate,CAD,rs17392044,1.13159851301115,0.536234200743494,0.0348351757332426,0.080598792275282,2.18259823374702
urate,CAD,rs17406107,0.808184931506849,0.40188698630137,0.0443280319239175,0.0205009125008224,1.59586895051288
urate,CAD,rs4698050,1.06838709677419,0.476254032258065,0.024876605861676,0.13494634605641,2.00182784749198
urate,CAD,rs6819959,3.16272727272727,1.04714772727273,0.00252502931001597,1.11035544077976,5.21509910467479
urate,CAD,All - Inverse variance weighted,0.942080284142968,0.29059012236615,0.0011871250190487,0.372534110042227,1.51162645824371
urate,CAD,All - MR Egger,1.44962631157171,0.761715268923152,0.0935191200568089,-0.0433081819919108,2.94256080513533
ursodeoxycholate,CAD,rs2421668,-0.672441176470588,0.290644117647059,0.0206883616160299,-1.24209317937725,-0.102789173563931
ursodeoxycholate,CAD,rs6763802,0.62328125,0.291352430555556,0.0324138812473188,0.0522409793029041,1.1943215206971
ursodeoxycholate,CAD,All - Inverse variance weighted,-0.026156906541807,0.647859294032675,0.967794668656306,-1.29593778989539,1.24362397681178
ursodeoxycholate,CAD,All - MR Egger,NA,NA,NA,NA,NA
arginine,CAD,rs17706531,1.95990476190476,0.957580952380952,0.0406851047581907,0.0830805829565311,3.83672894085299
arginine,CAD,rs511304,1.04753926701571,0.530397905759162,0.0482674198851216,0.00797847425227927,2.08710005977913
arginine,CAD,All - Inverse variance weighted,1.26173606586598,0.46397818396127,0.00654031125668979,0.352355535689592,2.17111659604237
arginine,CAD,All - MR Egger,NA,NA,NA,NA,NA
heptanoate (7:0),CAD,rs17520583,-2.75591397849462,1.1334623655914,0.0150401020362219,-4.97745939288534,-0.534368564103913
heptanoate (7:0),CAD,All - Inverse variance weighted,NA,NA,NA,NA,NA
heptanoate (7:0),CAD,All - MR Egger,NA,NA,NA,NA,NA
laurate (12:0),CAD,rs1530439,-2.21177777777778,1.10462222222222,0.0452531861384638,-4.37679754985593,-0.0467580056996222
laurate (12:0),CAD,rs287276,-3.2022619047619,1.13697619047619,0.00485542352485507,-5.43069428937479,-0.97382952014902
laurate (12:0),CAD,All - Inverse variance weighted,-2.69272672915993,0.792277096264493,0.00067702389538832,-4.24556130361431,-1.13989215470555
laurate (12:0),CAD,All - MR Egger,NA,NA,NA,NA,NA
valine,CAD,rs10181551,4.00545454545455,1.86445454545455,0.0316879362483867,0.35119078555164,7.65971830535745
valine,CAD,All - Inverse variance weighted,NA,NA,NA,NA,NA
valine,CAD,All - MR Egger,NA,NA,NA,NA,NA
urea,CAD,rs12654812,2.27991525423729,0.871228813559322,0.00887333550938844,0.572338157367456,3.98749235110712
urea,CAD,rs3895535,-2.06528,0.954272,0.0304454231036722,-3.93561875145501,-0.194941248544994
urea,CAD,rs7990832,2.3733606557377,0.990385245901639,0.0165569444314071,0.432241242950647,4.31448006852476
urea,CAD,All - Inverse variance weighted,0.918574348923121,1.44657243391985,0.525428030242466,-1.91665552258823,3.75380422043447
urea,CAD,All - MR Egger,-67.4995942730411,49.1130593553105,0.400442585050138,-163.759421780028,28.7602332339454
cortisol,CAD,rs1381274,-1.42753424657534,0.630267123287671,0.0235147035751548,-2.66283510885884,-0.192233384291841
cortisol,CAD,rs9446392,-1.48561933534743,0.66729003021148,0.0259909296926741,-2.79348376180458,-0.177754908890286
cortisol,CAD,All - Inverse variance weighted,-1.45492081033089,0.45819577416394,0.00149668414699664,-2.35296802556066,-0.556873595101123
cortisol,CAD,All - MR Egger,NA,NA,NA,NA,NA
cortisone,CAD,rs1379470,-2.53448717948718,1.21217948717949,0.0365413867206158,-4.91031531715721,-0.158659041817153
cortisone,CAD,rs2058473,-3.57402597402597,1.31016883116883,0.00637365059391407,-6.14190969678382,-1.00614225126813
cortisone,CAD,rs219918,2.29010033444816,1.01754180602007,0.0244095909765466,0.295755041884988,4.28444562701133
cortisone,CAD,rs7670890,-2.92802631578947,1.29096052631579,0.023323171568397,-5.45826245283129,-0.397790178747654
cortisone,CAD,All - Inverse variance weighted,-1.18490373960139,1.45838998555577,0.416519780472762,-4.0432955867046,1.67348810750181
cortisone,CAD,All - MR Egger,4.12544361786328,1.39371685009236,0.0976934606155856,1.39380878703566,6.85707844869091
proline,CAD,rs10183099,2.61166666666667,1.22594047619048,0.0331437800563154,0.20886748614345,5.01446584718988
proline,CAD,rs11784679,-2.16887931034483,1.05031896551724,0.0389256446862216,-4.22746665503799,-0.110291965651668
proline,CAD,rs1867270,-1.976015625,0.984609375,0.0447599797654108,-3.90581453884049,-0.0462167111595082
proline,CAD,rs5747948,1.77684210526316,0.738669172932331,0.0161519431539324,0.329077129825801,3.22460708070051
proline,CAD,rs5747950,2.86127659574468,1.0313829787234,0.00553353478630559,0.839803103179168,4.88275008831019
proline,CAD,rs950755,2.22974137931035,1.09068103448276,0.0409182945618265,0.0920458331032497,4.36743692551744
proline,CAD,rs9605907,1.31685589519651,0.554663755458515,0.0175893224854878,0.229734910968085,2.40397687942493
proline,CAD,All - Inverse variance weighted,1.0387863179804,0.675414076106628,0.124048807036235,-0.285000945839984,2.36257358180079
proline,CAD,All - MR Egger,0.508329495679671,2.32530402133398,0.835598395874283,-4.04918263924108,5.06584163060042
citrulline,CAD,rs10164524,2.6162,1.05803,0.0134093388437556,0.542499305437087,4.68990069456291
citrulline,CAD,rs10504742,-2.97901234567901,1.15735802469136,0.0100537104601293,-5.24739239129249,-0.710632300065532
